relation	sentence
Component-Whole(e1,e2)	او <e1>سرپیچ </e1><e2>لامپ </e2>را با رنگ سیاه با استفاده از یک اسفنج پنبه‌ای نقاشی کرد .
Component-Whole(e2,e1)	بازوی <e1>جرثقیل </e1><e2>بالا </e2>می رود ، می چرخد و به حداکثر طول 11 اینچ می رسد ، درست مثل پو گوستال خودمان .
Product-Producer(e2,e1)	در سال 1882 ، لوئیس یک روش ساخت صفحات عکاسی را توسعه داد و در سال 1894 <e1>کارخانه </e1>برادران 15 میلیون <e2>صفحه </e2>در سال تولید می کرد .
Entity-Origin(e1,e2)	<e1>واکسن </e1>از <e2>ویروس </e2>غیر فعال شده ساخته شده است ، بنابراین سرماخوردگی از واکسن غیر ممکن است .
Other	مزوفاز <e1>مزوفر </e1>را از <e2>ترموسفر </e2>جدا می کند .
Product-Producer(e2,e1)	<e1>اشرافیت </e1><e2>قوانینی </e2>را تنظیم کرد که سیستم پولی و بانک‌ها را تنظیم می کرد ، عدالت را اجرا می کرد ، و اغلب قیمت‌ها ، دستمزد و سایر معاملات اقتصادی را کنترل می کرد .
Content-Container(e2,e1)	در سمت راست آن یک <e1>فنجان </e1>حاوی <e2>خاک </e2>است .
Entity-Origin(e1,e2)	فارماکوگنوزی عبارت است از مطالعه <e1>داروهای </e1>خام استخراج شده از <e2>گیاهان ، </e2>حیوانات و قلمرو مواد معدنی .
Content-Container(e1,e2)	این یک پازل منبت کاری از چند <e1>گردوی </e1>پخش شده در یک <e2>ظرف </e2>بود .
Entity-Origin(e2,e1)	بزرگترین نمونه چربی اشباع نشده ، <e2>روغن </e2><e1>زیتون </e1>است و جزء مواد اصلی در رژیم غذایی مدیترانه‌ای است .
Message-Topic(e1,e2)	چنین <e1>نتیجه </e1>گیری ای <e2>اهمیت </e2>نگرانی زیست محیطی را در درک و تشویق رفتارهای محیطی نشان می دهد .
Message-Topic(e1,e2)	این یک <e1>کانال </e1>مخصوص تلویزیون‌های کالی است که <e2>ورزش </e2>و برنامه‌های ورزشی نشان می دهد .
Content-Container(e2,e1)	مسافری پس از تلاش برای آوردن یک <e1>چمدان </e1>پر از <e2>کوکائین </e2>به یک هواپیما در فرودگاه بین المللی فیلادلفیا ، بازداشت شد .
Cause-Effect(e2,e1)	<e1>بیکاری </e1>ناشی از افرادی است که به صورت آگاهانه یا ناخودآگاه <e2>مردم </e2>را از مشاغل بیرون کرده اند .
Member-Collection(e1,e2)	این روش <e2>پشته </e2><e1>فرضیه </e1>رمزگشا را در حین شناسایی می آزماید و محتمل ترین عبارات را قبل از اینکه هرس شوند انخاب میکند .
Other	نمایش‌های تلویزیونی آشپزی و بیشتر تبلیغات <e1>شراب </e1>را در <e2>معرض توجه </e2>قرار داده اند .
Cause-Effect(e1,e2)	<e1>نوشابه‌های </e1>گازدار و گوشت در رژیم غذایی باعث بیماری‌های قلبی و <e2>دیابت </e2>می شوند .
Other	<e1>مشاهدات </e1>بصری از <e2>فضا </e2>تعدادی از پدیده‌های جذاب طبیعی که مورد علاقه هواشناسان و جو شناسان هست مانند : شفق قطبی ، هوا تاب ، ذرات معلق ، رعد و برق و اثرات شکنندگی اتمسفر را نشان می دهد .
Product-Producer(e2,e1)	تدا خود را به عنوان بهترین <e1>پوشهی </e1><e2>صفحات </e2>کاغذی تایید کرده است .
Product-Producer(e1,e2)	تا سال گذشته ، افغانستان یک صادر کننده تریاک بود ، نه یک <e2>تولید کننده </e2>بزرگ <e1>هروئین </e1>.
Other	یک هدف مهم در مورد <e2>فرسایش </e2><e1>مینا </e1>و عاج دندان شناسایی عواملی است که ممکن است سطح دندان را از کانی زدایی محافظت کنند .
Component-Whole(e2,e1)	<e1>خوک </e1>با <e2>پوزه </e2>اش در کثیفی فرو رفت .
Cause-Effect(e2,e1)	<e1>پرتو </e1>الکترونی اولیه توسط یک <e2>تفنگ </e2>الکترونی الکترواستاتیک با یک کاتد رنیم تولید شد .
Component-Whole(e1,e2)	<e1>پلتفرم </e1>مته که بخشی از ناحیه <e2>کشتی </e2>معدن رومولان بود ، می توانست به اتمسفر سیاره‌ای یا سیاره‌ای برای عملیات معدنی کاهش یابد .
Component-Whole(e2,e1)	<e1>تصفیه خانه </e1>فاضلاب با استفاده از یک <e2>سیستم </e2>نوری فرابنفش باکتری‌ها را از بین برده و مانع از انتشار آنها می شود .
Cause-Effect(e1,e2)	من قبل از دوش گرفتن درب حمام را فراموش کرده بودم ببندم و <e1>بخار </e1>آن <e2>زنگ </e2>دود را روی دیوار بین حمام و اتاق خوابم به صدا درآورد .
Message-Topic(e1,e2)	<e1>سخنرانی </e1>وی <e2>تدابیر </e2>فوری برای برانگیختن اقتصاد را به طور خلاصه بیان کرد .
Cause-Effect(e1,e2)	کمی پس از پرواز ، یک <e1>سوء عملکرد </e1>مشخص باعث <e2>شلیک </e2>غیر عمدی موشک ضربتی ایم9 شده است .
Content-Container(e1,e2)	<e1>تک </e1>اسکورپیو در حدود 6 میلیارد 45 ثانیه در <e2>صندوق </e2>بود .
Message-Topic(e2,e1)	<e1>نیازهای </e1>اطلاعاتی خلبان در یک تحقیق مبتنی بر وب مورد <e2>بررسی </e2>قرار گرفت .
Component-Whole(e2,e1)	<e1>ماهی مرکب </e1>غول پیکر دارای یک <e2>پوزه </e2>شبیه منقار پرنده است که تله‌های قطبی 2 متری را به تکه‌های کوچک تبدیل میکند .
Other	گاهی اوقات بهترین <e1>وبلاگ نویسی </e1>به خوبی از <e2>مکان‌های </e2>قابل مشاهده است .
Message-Topic(e1,e2)	به <e2>داستانش </e2><e1>انتقاد </e1>وارد شد .
Member-Collection(e2,e1)	این طرح اپرا فضای مدرسه را با سرعت باد ، دامنه وسیع و پایانی پیچیده فرا میخواند اما برون یابی‌های پیشرفته به <e1>جهان </e1><e2>الواط‌ها </e2>, قهرمانان و خیال پردازان سرزندگی می بخشد .
Content-Container(e1,e2)	<e1>تلفن‌همراه </e1>گم‌شده در اقیانوس در <e2>شکم </e2>ماهی کاد پیدا شد .
Entity-Origin(e1,e2)	در این نمایش به صورت اسلاید ، تصاویر و نقل قول‌های <e1>هنرمندان </e1>از <e2>فصول </e2>گذشته هنر : 21 از آنها کنار هم گذاشته شد تا یک پرتره از معماری در هنر معاصر ایجاد کند .
Component-Whole(e2,e1)	اضافه کردن یک بادبان به <e1>قایق </e1>یک <e2>دهان </e2>کوچک به آن می‌دهد که می‌تواند باعث تعادل قایق در شرایط دریایی و بادهای سنگین تر شود .
Other	تئو تصادفا <e1>سنگی </e1>به رنگ رنگین کمان پیدا می کند که <e2>قدرت </e2>پنهانی برای برآوردن آرزوها دارد .
Member-Collection(e2,e1)	او یک <e1>دسته </e1>دوازده تایی <e2>گوزن </e2>داشت که زمین هایش را شخم می زدند و چند گاو ، بنابراین به منبع آب بزرگتر مثال کانال نیاز داشت .
Cause-Effect(e1,e2)	<e1>موادمخدری </e1>که او فروخته بود باعث <e2>مرگ </e2>ناشی از اووردوز متیو لزارد ، 19 ، از لاول بود .
Message-Topic(e1,e2)	این <e1>بخش </e1>با ارائه خلاصه‌ای از <e2>یافته‌ها </e2>نتیجه گیری می کند .
Product-Producer(e2,e1)	سال گذشته کاوندیش به سختی یک حرکت را انجام داد ، 45 درجه در یک جاده با سرعت 70 کیلومتر در ساعت ، قبل از اینکه <e1>نامزدش </e1>، ملیسا ، که در حال تماشا از طریق تلویزیون بود ، با یک <e2>پیام </e2>متنی او را تهدید کند که اگر دوباره زندگیش را به خطر بیندازد از او طلاق خواهد گرفت .
Product-Producer(e2,e1)	<e1>دانشجویان </e1>و ساکنان محلی با هم کار کرده اند تا 10000 <e2>آجر </e2>تولید کنند و بناء بیشتر کار خود را در اولین خانه مهمان انجام داده است .
Entity-Destination(e1,e2)	دانشمندان <e1>سلول‌های </e1>انسانی را به <e2>حیوانات </e2>آزمایشگاهی تزریق کرده اند .
Other	فیلمنامه نوشته شده توسط پترسون مک نات و آرتور جک بکارد بر به سرپرستی گرفتن یک کودک <e1>یتیم </e1>توسط یک <e2>مجرد </e2>ثروتمند تمرکز دارد .
Other	یک <e1>دیاپیر </e1>از <e2>گنبد </e2>سیلیکون برجسته سر برافراشته و به درون ماسه‌ها پیشروی می کند .
Component-Whole(e1,e2)	کوچکترین ستاره به طور کامل درون <e1>بازو </e1><e2>صلیب </e2>آبی بود .
Content-Container(e1,e2)	4 گرم متابیسولفیت سدیم بین ورق‌های کاغذی گریسپروف در کف <e1>کارتون‌های </e1>40 × 30 × 10 سانتیمتری که در <e2>کیسه‌های پلاستیکی </e2>قرار داشتند پخش شد .
Member-Collection(e2,e1)	علاوه بر این ، در مورد چین نیز ایده‌هایی از نظریه RSS ، از جمله مفهوم <e1>اتحاد </e1>طبقات اجتماعی مختلف و نقش <e2>طبقه </e2>کارگر در جوامع را به چالش می کشاند .
Cause-Effect(e2,e1)	گزارش‌های مربوط به تلفات اعلام شده است و <e1>خسارت </e1>ناشی از زمین <e2>لرزه </e2>در حال برآورد شدن است .
Other	<e1>قطعات </e1>کوچک چاقو به طور گسترده‌ای برای برش <e2>نوار‌های </e2>مختلف مواد انعطاف پذیر استفاده می شود .
Other	اگرچه یک انیگما تجاری بود که توسط مخالفان لهستانی اصلاح شد تا با انیگما نظامی مطابقت داشته باشد ، از دو شاخه‌های تلفن استفاده می کرد ، <e1>شاخه‌ها </e1>در <e2>تخته سیم بندی </e2>انیگمای واقعی دارای دو بخش بودند ، اما آنها همچنان از لحاظ الکتریکی مشابه با دوشاخه‌های تلفن کار می کردند .
Member-Collection(e2,e1)	این <e1>مجلد </e1>حاوی پانزده <e2>مقاله </e2>است که توسط محققان ثابت قدم به جنبه‌های مختلف طیف گسترده راسل و کار فلسفی پویا می پردازد .
Message-Topic(e1,e2)	این <e1>نقاشی </e1><e2>شهروند </e2>نیکوکاری را روی پله‌های خانه اش در کانال اوده دلفت نشان میدهد .
Entity-Destination(e1,e2)	<e1>کلیه‌ها </e1>به <e2>میزبان‌های </e2>وحشی قرار پيوند زده شدند .
Member-Collection(e2,e1)	در 29 مارس 1984 ، نیمه شب ، یک <e1>کاروان </e1><e2>کامیون‌های </e2>متحرک ، مرکز فرماندهی کولتس را ترک کرد و به سمت ایندیاناپولیس روانه شد .
Component-Whole(e1,e2)	هوا با فشار وارد ساز می شود ، از اعماق ریه‌های نوازنده شروع شده و تمام راه را تا رسیدن به <e1>زنگوله </e1>انتهای <e2>ترومپت </e2>طی می کند .
Cause-Effect(e2,e1)	در آن سال دانش آموزان تابستانی VLA اولین کشف <e1>انتشار </e1>رادیویی از یک <e2>کوتوله </e2>قهوه‌ای را ساختند .
Product-Producer(e1,e2)	<e1>خط‌ها </e1>از <e2>کامیون </e2>عبوری هستند .
Entity-Destination(e1,e2)	<e1>دوست </e1>من به تنهایی به چندین <e2>کشور </e2>اروپای شمالی سفر می‌کند .
Other	مسئولیت <e1>حامل </e1>آغاز می شود از زمانی که او کالا را دریافت می کند ، شخصا یا از طریق <e2>شخصی </e2>که برای این هدف موظف شده است .
Other	سه <e1>همراه </e1>از <e2>راه </e2>رودخانه سلینتان به شهر رسیدند .
Entity-Origin(e2,e1)	این مورد <e2>روغن </e2><e1>میوه </e1>نارنگی است و در ایجاد و / یا ساخت انواع کنسانتره عطر و طعم مورد استفاده قرار می‌گیرد .
Message-Topic(e1,e2)	تعدادی <e1>سوال </e1>در رابطه با <e2>خطرات </e2>واکسن جدید مطرح شده است .
Cause-Effect(e1,e2)	نا امیدی ، <e1>تهدید </e1>و کشمکش باعث <e2>استرس </e2>می شود .
Content-Container(e1,e2)	این <e1>لباس </e1>پنبه‌ای آبی و سفید با نوار‌های قرمز بر روی سینه‌بند٬ پوشش و لباس پوشیده شده <e2>تن </e2>یک باربی می باشد .
Content-Container(e1,e2)	<e1>پول </e1>در یک <e2>کیف </e2>چرم بز با ابعاد قابل توجه بود ، که بانک دار به من داده بود .
Entity-Destination(e1,e2)	آنها <e1>جسد‌ها </e1>را با ابزارهای سنگی در <e2>گورهای </e2>کم عمق قرار داده اند .
Entity-Destination(e1,e2)	آشپز <e1>پسته‌های </e1>خرد شده را به <e2>میوه </e2>خیس خورده مخلوط کرد .
Cause-Effect(e2,e1)	استلا لیبک زنی است که پس از اینکه از <e1>سوختگی </e1>شدید ناشی از <e2>ریختن </e2>یک فنجان قهوه روی پایش رنج برد از مک دونالد شکایت کرد .
Component-Whole(e2,e1)	این <e1>دستگاه </e1>شگفت انگیز دارای یک شیفت <e2>رجیستر </e2>بود که از یک موتور و یک روتور و همچنین یک حافظه فقط خواندنی صفحه کلیددار ساخته شده بود که صفحه کلیدتنها شامل اهرم‌ها و فنرها است .
Cause-Effect(e2,e1)	طرح مارشال همچنین راهی برای به دست آوردن پذیرش عمومی در اروپا برای فرمت جدید داد و ستد بود که ایالات متحده پیش از جنگ به طور موفقیت‌آمیزی از آن برای جلوگیری از <e1>رکود اقتصادی </e1>ناشی از <e2>سقوط </e2>وال استریت در سال 1929 استفاده کرد .
Entity-Destination(e1,e2)	<e1>کلدرونیت </e1>تزریقی از <e2>دیالیز </e2>حذف شد .
Other	او <e1>عیاش‌ها </e1>را در <e2>حالت مهمانی </e2>قرار داد .
Other	در این زمان <e1>مزرعه </e1>سه <e2>اسب </e2>و یک تراکتور کوچک داشت .
Other	<e1>جراحی </e1>پس از <e2>شیمی درمانی </e2>رادیویی یک درمان موضعی موثر است که می تواند به طور قابل توجهی کنترل تومور موضعی را در مقایسه با شیمی درمانی خالی افزایش دهد .
Cause-Effect(e2,e1)	<e1>زمین لغزه </e1>بزرگ به دلیل <e2>باران </e2>بسیار سهمگین در طی ۲۴ ساعت در ۳۰ اکتبر ۱۹۹۸ رخ داد .
Member-Collection(e2,e1)	در ابتدا ، اجنام پیاده گارد شامل یک <e2>هنگ </e2><e1>قورباغه‌های </e1>پا و یک قاتل پا ، هر کدام با دو گردان مارچ و یک گردان آموزشی بود .
Entity-Origin(e1,e2)	برای کسانی از شما که مطمئن نیستید آفریکانز جیست٬ زبانی است که از هلندی‌هایی نشئت گرفته است که اولین مهاجران آفریقای جنوبی بودند و این <e1>زبان </e1>منحصر به فرد توسط <e2>مهاجران </e2>مالایی ، اندونزی ، ماداگاسکار و غرب آفریقا تکامل یافته است .
Message-Topic(e2,e1)	این <e1>نکته </e1>در چندین <e2>جنگ حقوقی </e2>در طول سالها مورد بحث بوده است .
Instrument-Agency(e2,e1)	<e1>نویسنده </e1>از <e2>نمادگرایی </e2>برای نشان دادن اهمیت برخی آرمان‌ها و موضوعات اصلی رمان استفاده می کند .
Entity-Destination(e1,e2)	دو <e1>گوزن </e1>با <e2>ماشین‌ها </e2>برخورد کردند .
Component-Whole(e2,e1)	<e1>آپارتمان </e1>شامل دو <e2>اتاق خواب </e2>با کمد‌های لباس ، دو حمام با وان ، آشپزخانه بزرگ و سالن / اتاق غذاخوری . . . است .
Product-Producer(e1,e2)	این یکی از <e1>حفره‌های </e1>ایجاد شده توسط <e2>سنگ آسمانی </e2>مورسکو است .
Content-Container(e1,e2)	<e1>آرک </e1>در <e2>غار </e2>زیر کوه تمپل در قلب پنهان شده بود .
Component-Whole(e2,e1)	مروارید گران و کمیاب است ، بسیاری از زنان ترجیح می دهند یک آویز مرواریدی دریای جنوبی مناسب را خریداری کنند ، به جای این که از <e1>زنجیر </e1><e2>مروارید </e2>استفاده کنند .
Cause-Effect(e2,e1)	از سوی دیگر ، هر اندازه که <e1>رضایت </e1>از <e2>خرید </e2>بیشتر باشد ، سود بیشتری از معرفی به دیگران و خرید مجدد بدست می آید .
Other	یک <e1>خندق </e1><e2>دشمن </e2>را دور نگه می دارد .
Other	این <e1>کار </e1>در یک <e2>تلاش </e2>برای نشان دادن تشابه میان هنرها ریشه دارد که با تمرکز بر روی علم کلاسیک و استدلال های اصلی انجام می شود .
Entity-Destination(e1,e2)	کاربر <e1>زیرنویس‌ها </e1>را به <e2>فایل‌های </e2>mp4 اضافه کرد .
Cause-Effect(e1,e2)	<e1>سدیم </e1>باعث <e2>احتباس </e2>مایعات شده که می تواند منجر به تورم ، آماس ، افزایش فشار خون و نارسایی قلبی در بیماران مستعد به حملات قبلی شود .
Other	بسیاری از <e1>دانشجویان </e1>از <e2>برنامه‌های درسی </e2>ایده آل که در بخش بعد این بولتن ارائه شده ، منحرف می شوند .
Content-Container(e2,e1)	در حال حاضر ، من یک <e1>بطری </e1>پلاستیکی حاوی <e2>الکل </e2>دارم که شب‌ها در آن مژه‌های مصنوعی ام که درآورده ام را می گذارم تا آنها را پاک کنم و از آنها حفاظت کنم .
Other	با این قضایا ، <e1>قضات </e1><e2>اصول </e2>قضاوت را بهبود بخشیدند , و این اصول را می توان در سنجش محدودیت‌های آزادی که موجه یا غیرقابل توجیه بودند در هر زمینه‌ای از قانون استفاده کرد .
Component-Whole(e2,e1)	او بسیار مراقب بود که تیغه <e1>تبر </e1>در خط مستقیم با <e2>دسته </e2>فرود بیاید .
Other	برای اهداف ثبت نام ، <e1>اموال </e1>در یک <e2>کشتی </e2>به 64 سهام تقسیم می شود .
Other	اما هیچ یک از این موارد واقعا لازم نبود ، زیرا شما فقط به سمت بزرگترین <e1>ساختمان </e1>ساخته شده توسط <e2>بشر </e2>میروید .
Other	ثروت ظاهرا <e1>فراوانی </e1><e2>کالاهای </e2>مورد نیاز برای ادامه حیات است اما ویژگی این کالاها با استفاده از ثروت تغییر می کند .
Entity-Destination(e1,e2)	ملوانان <e1>چای </e1>را به <e2>بندر </e2>بوستون ریختند .
Cause-Effect(e2,e1)	<e1>آسیب‌های </e1>گسترده‌ای توسط <e2>اعتصاب کنندگان </e2>به معدن وارد شده است .
Content-Container(e1,e2)	یک <e1>سگ رهیاب </e1>در هنگام سرقت در <e2>صندوق </e2>عقب خودرو بود .
Content-Container(e1,e2)	پس از آن که <e1>مار </e1>در چند دقیقه در یک <e2>شیشه </e2>بود ، حالت لتیسیومولاتور خود را متوقف کرد و طبیعی ظاهر شد .
Component-Whole(e1,e2)	<e1>سوپاپ </e1>ایمنی اولین <e2>مخزن </e2>پس از 16 دقیقه و 27 ثانیه فعال شد ، در حالی که سوپاپ ایمنی دوم مخزن پس از 16 دقیقه و 53 ثانیه فعال شد .
Message-Topic(e1,e2)	بیشترین <e1>پیش‌بینی‌های </e1>دقیق در مورد <e2>صعود </e2>و سقوط رهبران و سازمان‌ها است .
Product-Producer(e1,e2)	بزرگترین خبر در جشنواره دریافت جایزه معتبر الکساندر لیفکا برای فیلمبرداری توسط من نبود ، بلکه این بود که این اولین نمایش <e1>فیلم </e1>بود که کاملا توسط یک <e2>میمون </e2>ساخته شده بود .
Entity-Destination(e1,e2)	من به <e2>گیاهان </e2><e1>آب </e1>دادم .
Entity-Destination(e1,e2)	چنین <e1>ایده‌ها </e1>و فن آوری هایی در حال انتقال از انجمن زبان کاربردی به <e2>مهندسی نرم افزار </e2>اصلی هستند .
Product-Producer(e1,e2)	اسمیت به <e1>شخصیت </e1>افسانه‌ای قزاقستانی ساخته شده توسط <e2>کمدین </e2>بریتانیایی اشاره کرده بود .
Content-Container(e2,e1)	ما محتویات یک بسته را در یک <e1>پارچ </e1><e2>آب </e2>حل کردیم و چرخه دم کردن را اجرا کردیم .
Content-Container(e1,e2)	وقتی که رسید ، <e1>فیبر کاپک </e1>برای جلوگیری از قرار گرفتن در معرض آب در <e2>بسته‌های پلاستیکی </e2>وینیل مهر و موم شده بود .
Cause-Effect(e2,e1)	اما <e1>ناراحتی </e1>ناشی از <e2>پماد </e2>و مدت زمان درمان اغلب منجر به نتیجه خاصی نمی شود .
Other	<e1>کابین خلبان </e1>سه نفر <e2>خدمه </e2>شامل خلبان ، اپراتور رادار و اپراتور سنسور را در خود جای داده بود .
Other	یک <e1>دفتر </e1>که شامل <e2>گیاهان </e2>است یک محیط دلپذیر برای خودتان و دیگران ایجاد می کند .
Cause-Effect(e1,e2)	بسیاری از صابونهای تجاری ، ژل دوش یا محصولات پاک کننده شامل مواد نگهدارنده ، <e1>رنگدانه </e1>و مواد شیمیایی هستند که باعث خشکی ، <e2>جوش ، </e2>خارش و زبری بر روی پوست می شوند .
Other	<e1>مواد شیمیایی </e1>مورد استفاده برای <e2>احیاء </e2>صفحه نمایش ، از خطرناک ترین محصولات موجود در یک کارخانه چاپ روی صفحه نمایش هستند .
Product-Producer(e2,e1)	محصول اصلی <e1>کارخانه </e1><e2>شکر </e2>سفید گرانول است که به عنوان مثال ، با کوکاکولا که یکی از بزرگترین مشتریاناست وارد صنعت می شود .
Other	مانند شیبنا ، <e1>پیشکسوت </e1>ما نیز در <e2>جنبش </e2>آزادی هند شرکت دارد ، با سختی‌های حکومت خارجی مقابله می کند ، و از ساروینی نایو و دیگر شخصیت‌های برجسته مانند رهبر کمونیست ورزیده راوی نایان ردی ، الهام گرفته است .
Message-Topic(e1,e2)	<e1>مقالات </e1>باقی مانده ، محدوده <e2>تحقیقات جامعه شناختی </e2>را مشخص می کنند .
Content-Container(e1,e2)	دو ماه پیش یک <e1>بمب </e1>پیش بینی نشده در داخل یک <e2>قوطی </e2>شیر خشک کشف شد .
Instrument-Agency(e2,e1)	یک متخصص پزشکی <e1>متبحر </e1>از انواع <e2>آزمایشات </e2>تشخیصی استفاده می کند .
Content-Container(e2,e1)	زمانی که داشتیم خانه را ترک می‌کردیم ، یک <e1>چمدان </e1>محتوی سه یا چهار <e2>پاسپورت </e2>اردنی ، لباس و لوازم بهداشتی یافتیم .
Entity-Origin(e1,e2)	<e1>همجنسگرای </e1>لبنانی از <e2>پستو </e2>خارج می شوند ، اما بی سر و صدا .
Product-Producer(e2,e1)	در طی این فرآیند ، <e1>جراح </e1>یک <e2>سوراخ </e2>کوچک ( « روزنه‌سازی » ) را در بافل ایجاد می کند تا به کاهش علائم بیماری قلب اولیه کمک کند .
Cause-Effect(e2,e1)	مونیلیا ، قارچ یا <e1>عفونت‌های </e1>مخمری به علت گونه‌های مختلف <e2>قارچ </e2>، به ویژه قارچ آلبیکاس ، ایجاد می شود و در نوزادان و کودکان جوان بسیار رایج است .
Other	<e1>معلمان </e1><e2>اقدامات </e2>هماهنگ و قابل اطمینانی ارائه می دهند که به دانش آموزانی که عقب افتاده اند فرصت رسیدن به مهارت می دهد .
Content-Container(e2,e1)	وقتی یک <e1>بطری </e1>پر از <e2>عسل </e2>وزن شده بود ، وزن آن 1 کیلوگرم بود .
Member-Collection(e2,e1)	جمهوری‌ها در تلاشند تا درک درستی از طبیعت قومی این کشور به عنوان <e1>گروهی </e1>از انواع مختلف <e2>مردم </e2>داشته باشند .
Content-Container(e2,e1)	<e1>جعبه </e1>حاوی <e2>اسکناس یک دلاری </e2>بود .
Cause-Effect(e1,e2)	گرما ، <e1>باد </e1>و دود باعث <e2>تاخیر </e2>در پرواز می شود .
Cause-Effect(e1,e2)	زاناس با تغییر <e1>مواد شیمیایی </e1>مغز که موجب استرس و <e2>اضطراب </e2>می شوند ، کار می کند .
Entity-Origin(e1,e2)	<e1>اصطلاح </e1> باروک  از یک <e2>کلمه </e2>پرتغالی به معنای  مروارید نامتقارن  مشتق شده است .
Other	این <e1>حزب </e1>باعث شده است که <e2>مجاهدین </e2>خلق را به جریان اصلی تبدیل کنند .
Component-Whole(e2,e1)	فاصله زیر آهن ته کشتی در کانال پاناما ( PC ) و SLS برای عبور کشتی‌ها با مقایسه افزایش ارتفاعات <e2>آهن ته </e2><e1>کشتی </e1>و کف کانال محاسبه شد .
Cause-Effect(e2,e1)	او <e2>از دوچرخه </e2>سواری <e1>شادی </e1>و لذت زیادی می برد .
Other	این <e1>قورباغه </e1>اقیانوس آرام در یک <e2>درخت </e2>کریسمس که در آنکوراژ ، آلاسکا فروخته می شد ، یافت شد .
Component-Whole(e2,e1)	لولاپالوزا یک <e1>جشنواره </e1>موسیقی سالانه دربرگيرنده <e2>آلترنتيو راك </e2>، هيپ هاپ ، و باند هاي پانك راك ، اجراهاي رقص و كمدي و غرفه هاي صنايع دستي است .
Content-Container(e1,e2)	<e1>یخچال </e1>داخل یک <e2>جعبه قرمز مایل به قهوه‌ای </e2>بود .
Other	یک ابزار برش از این <e1>نوع </e1>برای <e2>حفاری </e2>عمیق مورد استفاده قرار گیرد دارای یک سر برش است که بر روی دسته نصب شده است .
Message-Topic(e2,e1)	این وب سایت به ارائه <e2>اطلاعات </e2>مربوط به <e1>اعتیاد </e1>و لیست برنامه‌های درمانی مواد مخدر و الکل اختصاص داده شده است .
Other	من <e2>شیر </e2><e1>شب </e1>آنها را دوشیدم و سپس دیدم که آنها خوابیده اند .
Entity-Destination(e1,e2)	<e1>حلال </e1>o-dichlorobenzene برای مرحله اول جداسازی سخت به <e2>کلربنزن </e2>منتقل شد .
Component-Whole(e1,e2)	آنها مجاز به استفاده از دو <e1>پلهی </e1>بالای <e2>نردبان </e2>بودند .
Other	<e1>واکنش </e1>براچیورادیالیس با کشیدن تاندون براچیورادیالیس به طور مستقیم با <e2>چکش </e2>زمانی که بازوی بیمار استراحت می کند مشاهده می شود .
Other	<e1>حفاظ </e1>بتنی ضخیم 180 سانتی متری در <e2>شعاع </e2>600 سانتیمتری دایر می شود .
Component-Whole(e2,e1)	به طور ویژه‌ای ، <e1>سیستم </e1>هیئت منصفه را با <e2>نمونه </e2>پیش ساخته سخنرانی حرفه‌ای و گفتگوی موفقش قانع کرد .
Component-Whole(e1,e2)	<e1>لخته </e1>چشمی <e2>مغز </e2>بوسیله عصب چشمی به چشم وصل شده است ، جمجمه‌های عصب ۱ .
Other	مدو موفق به فرار و ربودن <e2>خواهرزاده </e2><e1>دانشمند </e1>شد .
Component-Whole(e2,e1)	پیچ‌های مهار <e2>کابل </e2><e1>ترمز </e1>مهم ترین اتصال دهنده‌های دوچرخه هستند .
Component-Whole(e2,e1)	به طور همزمان ، باتری 5 اینچی مجموعه‌ای از <e2>منورها </e2>را در <e1>یک طرف </e1>شلیک کرد تا محیط را روشن کند .
Component-Whole(e1,e2)	از آنجایی که هدف نهایی این شرکت از فروش است ، <e1>بخش </e1>فروش حقیقتا به عنوان یکی از <e1>بخش‌های </e1>اصلی <e2>کسب و کار </e2>شناخته شده است .
Cause-Effect(e2,e1)	این <e1>عدم پذیرش </e1>ناشی از <e2>مهاجرت </e2>مهاجران کم توان است .
Message-Topic(e1,e2)	نکته مهم این است که بتوانیم دو یا سه <e1>جمله </e1>را با اشاره به <e2>شباهت‌ها </e2>و تفاوت‌های میان اشعار بنویسیم .
Entity-Origin(e1,e2)	دیگران فکر می کنند که <e1>خرابه‌های </e1>زیر آب مربوط به یک <e2>بنای تاریخی </e2>کهن دیگر است ، شاید یک معبد که به تدریج در زیر امواج غرق شده است .
Message-Topic(e1,e2)	اظهارنامه شاهد <e1>بیانیه‌ای </e1>است که در بر دارنده خلاصه <e2>شهادت </e2>کلامی شاهد در دادگاه است .
Product-Producer(e2,e1)	<e1>مخترع </e1>جانباز که برای اختراع <e2>رادیو </e2>ساعتی شناخته شده است، تصمیم دارد که شرکت رشد خود را در بورس سرمایه گذاری کند .
Product-Producer(e2,e1)	<e1>مردی </e1>که <e2>گوش </e2><e1>انسان </e1>را در پشت یک موش رشد داده است ، موفقیتی را به ارمغان آورده است که چشم انداز کبد مصنوعی را بسیار نزدیک تر می کند .
Component-Whole(e1,e2)	<e1>پایه‌های </e1><e2>صندلی‌ها </e2>به صورت متفاوت طراحی شده و به طور مداوم با سبک‌ها و طرح‌های جدید ارتقا می یافتند .
Content-Container(e1,e2)	در ظهر <e1>پول </e1>در <e2>میز </e2>بود و در شب کتاب جیبی که حاوی پول بود که با 40 سنت در کشو باقی ماند ، اما 265 دلار گم شد .
Instrument-Agency(e2,e1)	<e1>مرد </e1>جوان برف را از <e2>پنجره </e2>تماشا کرد ، و می خواست که تا ابد در آن کافه بماند .
